"obj","key","left","right","primary","change"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Client_Name__c^|editable","false","","left","Add"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Client_Name__c^|field","DetailedReportItem__x.Client_Name__c","","left","Add"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Client_Name__c^|readable","true","","left","Add"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Duration__c^|editable","false","false","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Duration__c^|field","DetailedReportItem__x.Duration__c","DetailedReportItem__x.Duration__c","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Duration__c^|readable","true","true","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.End_Time__c^|editable","false","false","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.End_Time__c^|field","DetailedReportItem__x.End_Time__c","DetailedReportItem__x.End_Time__c","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.End_Time__c^|readable","true","false","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Project_Id__c^|editable","false","false","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Project_Id__c^|field","DetailedReportItem__x.Project_Id__c","DetailedReportItem__x.Project_Id__c","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Project_Id__c^|readable","true","true","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Project_Name__c^|editable","false","false","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Project_Name__c^|field","DetailedReportItem__x.Project_Name__c","DetailedReportItem__x.Project_Name__c","left","Update"
"PermissionSet","PermissionSet|fieldPermissions|^DetailedReportItem__x.Project_Name__c^|readable","true","true","left","Update"
"PermissionSet","PermissionSet|objectPermissions|^DetailedReportItem__x^|object","DetailedReportItem__x","DetailedReportItem__x","left","Update"
"PermissionSet","PermissionSet|objectPermissions|^DetailedReportItem__x^|allowCreate","false","false","left","Update"
"PermissionSet","PermissionSet|objectPermissions|^DetailedReportItem__x^|allowDelete","false","false","left","Update"
"PermissionSet","PermissionSet|objectPermissions|^DetailedReportItem__x^|allowEdit","false","false","left","Update"
"PermissionSet","PermissionSet|objectPermissions|^DetailedReportItem__x^|allowRead","true","true","left","Update"
"PermissionSet","PermissionSet|objectPermissions|^DetailedReportItem__x^|modifyAllRecords","false","false","left","Update"
"PermissionSet","PermissionSet|objectPermissions|^DetailedReportItem__x^|viewAllRecords","false","false","left","Update"
"PermissionSet","PermissionSet|tabSettings|^DetailedReportItem__x^|tab","","DetailedReportItem__x","left","Add"
"PermissionSet","PermissionSet|tabSettings|^DetailedReportItem__x^|visibility","","Visible","left","Add"
"PermissionSet","PermissionSet|label","Toggl Users","Toggl Users","left","Match"
"PermissionSet","PermissionSet|hasActivationRequired","false","false","left","Match"